date;time;lng;lat;injured;killed
2020-09-24;16:30;-73.87329;40.83801;1;0
2020-09-24;16:30;-73.7464;40.665794;2;0
2020-09-24;16:31;-73.82629;40.879116;1;0
2020-09-24;16:36;-73.94473;40.783245;1;0
2020-09-24;16:37;-73.91587;40.84479;0;0
2020-09-24;16:38;-73.85409;40.688698;0;0
2020-09-24;16:39;-74.086586;40.59415;1;0
2020-09-24;16:40;-73.9409;40.703915;1;0
2020-09-24;16:40;-73.91894;40.640583;1;0
2020-09-24;16:45;-73.813614;40.788326;0;0
2020-09-24;16:50;-74.00859;40.71995;0;0
2020-09-24;17:00;-73.95603;40.8188;0;0
2020-09-24;17:10;-73.954315;40.69479;0;0
2020-09-24;17:21;-73.85607;40.84642;0;0
2020-09-24;17:25;-73.8064;40.756546;0;0
2020-09-24;17:26;-73.893745;40.75468;1;0
2020-09-24;17:30;-73.83279;40.73003;0;0
2020-09-24;17:30;-73.98399;40.78542;0;0
2020-09-24;17:30;-73.75015;40.606686;1;0
2020-09-24;17:30;-73.72707;40.751167;1;0
2020-09-24;17:45;-74.02585;40.617447;0;0
2020-09-24;17:45;-73.95819;40.758965;1;0
2020-09-24;17:46;-73.94613;40.710686;1;0
2020-09-24;17:55;-73.85171;40.696983;2;0
2020-09-24;17:56;-73.95309;40.618774;1;0
2020-09-24;18:00;-73.91276;40.646328;0;0
2020-09-24;18:00;-73.93096;40.822037;0;0
2020-09-24;18:00;-73.90265;40.692585;1;0
2020-09-24;18:09;-73.95648;40.65671;0;0
2020-09-24;18:10;-73.92365;40.6904;0;0
2020-09-24;18:19;-73.92155;40.6972;0;0
2020-09-24;18:23;-73.82597;40.759327;1;0
2020-09-24;18:25;-73.90889;40.63835;0;0
2020-09-24;18:29;-73.9112;40.84519;3;0
2020-09-24;18:30;-73.821365;40.680496;2;0
2020-09-24;18:45;-73.82194;40.753166;0;0
2020-09-24;18:59;-73.87818;40.67449;2;0
2020-09-24;19:10;-73.92612;40.836624;0;0
2020-09-24;19:11;-73.97459;40.744225;1;0
2020-09-24;19:13;-73.997345;40.598553;1;0
2020-09-24;19:30;-73.89606;40.69617;0;0
2020-09-24;19:30;-73.963356;40.79609;0;0
2020-09-24;19:30;-73.95502;40.652374;1;0
2020-09-24;19:30;-73.89527;40.856743;1;0
2020-09-24;19:37;-73.95056;40.59487;1;0
2020-09-24;19:39;-73.98874;40.608997;0;0
2020-09-24;19:44;-73.84392;40.828407;0;0
2020-09-24;19:45;-73.97404;40.6087;1;0
2020-09-24;19:50;-73.849266;40.87469;0;0
2020-09-24;19:57;-73.757324;40.667038;1;0
2020-09-24;1:19;-73.90904;40.66297;0;0
2020-09-24;1:43;-74.16544;40.62715;0;0
2020-09-24;20:00;-73.806305;40.68079;1;0
2020-09-24;20:05;-73.86356;40.895374;2;0
